GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-0 rank,Player-2 rank,Player-4 rank,Player-1 rank,Player-4,Player-1,Player-0,Player-3,Player-3 rank,Player-2,PlayerName-1,PlayerName-2,PlayerName-3,PlayerName-4
-129240464,Descent2e,6,GAME_OVER,174,0,5,2,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-12132643,Descent2e,5,GAME_OVER,116,0,5,3,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1125441341,Descent2e,6,GAME_OVER,155,0,5,4,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1121622036,Descent2e,5,GAME_OVER,152,0,5,5,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1665234851,Descent2e,5,GAME_OVER,147,0,5,6,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1552751862,Descent2e,4,GAME_OVER,91,0,5,7,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
411505302,Descent2e,4,GAME_OVER,79,0,5,8,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
31772146,Descent2e,6,GAME_OVER,161,0,5,9,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1872226856,Descent2e,5,GAME_OVER,132,0,5,10,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
217539027,Descent2e,5,GAME_OVER,125,0,5,11,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
260692750,Descent2e,5,GAME_OVER,159,0,5,12,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-665195121,Descent2e,5,GAME_OVER,145,0,5,13,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-295396702,Descent2e,5,GAME_OVER,130,0,5,14,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-2048788391,Descent2e,6,GAME_OVER,190,0,5,15,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1330620512,Descent2e,6,GAME_OVER,170,0,5,16,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-503642943,Descent2e,8,GAME_OVER,253,0,5,17,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2038494905,Descent2e,4,GAME_OVER,89,0,5,18,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2077725228,Descent2e,8,GAME_OVER,292,4,5,19,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1270732849,Descent2e,12,GAME_OVER,440,0,5,20,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
817220418,Descent2e,4,GAME_OVER,114,0,5,21,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1813997325,Descent2e,5,GAME_OVER,106,0,5,22,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1515665901,Descent2e,6,GAME_OVER,150,0,5,23,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-158184211,Descent2e,7,GAME_OVER,215,0,5,24,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-167940666,Descent2e,5,GAME_OVER,113,0,5,25,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
731552121,Descent2e,5,GAME_OVER,137,0,5,26,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-322514893,Descent2e,4,GAME_OVER,80,0,5,27,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
185924950,Descent2e,6,GAME_OVER,158,4,5,28,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
514226561,Descent2e,6,GAME_OVER,135,0,5,29,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-802059280,Descent2e,8,GAME_OVER,215,0,5,30,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
72993970,Descent2e,5,GAME_OVER,130,0,5,31,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1630215327,Descent2e,7,GAME_OVER,188,4,5,32,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
530021355,Descent2e,5,GAME_OVER,132,0,5,33,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1014344438,Descent2e,5,GAME_OVER,144,4,5,34,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
205548954,Descent2e,5,GAME_OVER,109,0,5,35,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
865259323,Descent2e,5,GAME_OVER,165,5,5,36,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1434625337,Descent2e,6,GAME_OVER,171,0,5,37,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1328028846,Descent2e,5,GAME_OVER,154,0,5,38,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
76544316,Descent2e,5,GAME_OVER,121,0,5,39,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1525708208,Descent2e,8,GAME_OVER,296,0,5,40,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1759598496,Descent2e,8,GAME_OVER,248,0,5,41,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1467442431,Descent2e,5,GAME_OVER,118,0,5,42,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-533006861,Descent2e,5,GAME_OVER,125,0,5,43,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1864019792,Descent2e,5,GAME_OVER,117,0,5,44,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1708750870,Descent2e,10,GAME_OVER,237,4,5,45,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-676739731,Descent2e,5,GAME_OVER,119,0,5,46,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1987738689,Descent2e,5,GAME_OVER,126,0,5,47,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-891039127,Descent2e,4,GAME_OVER,102,4,5,48,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2123069208,Descent2e,4,GAME_OVER,92,0,5,49,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1192330975,Descent2e,5,GAME_OVER,107,0,5,50,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
2054686520,Descent2e,6,GAME_OVER,160,0,5,51,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
317141275,Descent2e,4,GAME_OVER,78,0,5,52,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-589542030,Descent2e,5,GAME_OVER,132,0,5,53,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1791957809,Descent2e,5,GAME_OVER,105,0,5,54,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1058629402,Descent2e,7,GAME_OVER,209,0,5,55,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
142151403,Descent2e,5,GAME_OVER,128,5,5,56,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1545696438,Descent2e,5,GAME_OVER,192,0,5,57,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1166734279,Descent2e,5,GAME_OVER,122,0,5,58,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1455864387,Descent2e,8,GAME_OVER,252,0,5,59,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-272020745,Descent2e,5,GAME_OVER,119,0,5,60,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
125544037,Descent2e,7,GAME_OVER,185,0,5,61,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-17416001,Descent2e,6,GAME_OVER,145,0,5,62,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1780256839,Descent2e,5,GAME_OVER,123,0,5,63,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1001828439,Descent2e,5,GAME_OVER,114,0,5,64,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-832320528,Descent2e,5,GAME_OVER,123,0,5,65,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
101538150,Descent2e,5,GAME_OVER,131,0,5,66,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
1526373207,Descent2e,6,GAME_OVER,176,4,5,67,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1719831984,Descent2e,5,GAME_OVER,125,0,5,68,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
461539965,Descent2e,4,GAME_OVER,87,1,5,69,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-600590354,Descent2e,6,GAME_OVER,134,0,5,70,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
92378088,Descent2e,6,GAME_OVER,189,0,5,71,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-187942932,Descent2e,5,GAME_OVER,102,0,5,72,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
780507211,Descent2e,6,GAME_OVER,175,0,5,73,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-479757219,Descent2e,5,GAME_OVER,116,0,5,74,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
-1533463915,Descent2e,5,GAME_OVER,131,4,5,75,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
255628104,Descent2e,5,GAME_OVER,116,0,5,76,BasicMCTS,1,1,1,1,1,1,1,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,BasicMCTS
